,Tweets,ID,Retweet,Length of Tweet,Clean Tweet
0,Kerala politics is changing. The young and first time voters are supporting NDA’s development agenda. https://t.co/KJzc8fAn2O,1376896153845956612,3,125,
1,Puducherry is going to vote NDA. Watch. https://t.co/tl6emSgkEJ,1376872011964682242,2337,63,
2,"Speaking at a rally in Dharapuram, Tamil Nadu. https://t.co/hFpzBS0ElS",1376814532308336645,3837,70,
3,"Praying for the good health and speedy recovery of Dr. Farooq Abdullah Ji. 

Also praying for your and the entire f… https://t.co/OJlSGSkk1x",1376800691386130432,1738,140,
4,The fixed match of UDF and LDF is going to be rejected by Kerala. Watch from Palakkad. https://t.co/iFfxm5PY6b,1376775776020824071,4031,110,
5,"The new edition of #ExamWarriors has been enriched with valuable inputs from students, parents and teachers. 

Subs… https://t.co/Xi8r1WUFUv",1376490524643786754,3750,140,
6,"How to make exam preparation fun?

Is there anything interesting we can do sitting at home while preparing?

There… https://t.co/lq4VX8I2EF",1376490324898406403,2692,139,
7,"As the exam season begins, I am delighted to share that the updated edition of #ExamWarriors is now available. 

Th… https://t.co/QqgHkjKbG1",1376489984186744839,2898,140,
8,"Life is all about innovation and learning new things. In that spirit, our farmers are making commendable efforts to… https://t.co/XmvhPAaf64",1376145672144097284,3113,140,
9,The sporting successes of our Nari Shakti makes us all proud. #MannKiBaat https://t.co/sSNNLUgsnR,1376145115182432256,3767,97,
10,"During today’s #MannKiBaat programme, a very interesting comment was shared about a unique form of tourism. Do hear… https://t.co/dxf6MfR6gH",1376145020353413125,1883,140,
11,"The largest vaccination drive in the world is taking place in India, contributing to the spirited fight against COV… https://t.co/zySDhy2diA",1376144931882930177,2263,140,
12,India’s Amrut Mahotsav inspires each of us to think about our duties as citizens of this great nation. #MannKiBaat https://t.co/7xWSV86XnL,1376144804069978113,2261,138,
13,"Diverse topics, inspiring life journeys and many anecdotes…

On the 75th #MannKiBaat episode, here is how this radi… https://t.co/54abP0iVku",1376144268637650945,1744,140,
14,Today is the 75th episode of #MannKiBaat. Tune in. https://t.co/CAKlYUrGHL,1376043964638224390,5907,74,
15,I would like to thank the people of Bangladesh for their affection during my visit. I would also like to thank PM S… https://t.co/RKBrSmwLnk,1375822747209592832,6335,140,
16,"India and Bangladesh signed MoUs in key sectors such as disaster management, sports and youth affairs, trade, techn… https://t.co/5jL9qTFD4w",1375819665646051331,1641,140,
17,Had a wonderful meeting with President Abdul Hamid. We exchanged views on a wide range of subjects pertaining to In… https://t.co/fc0IkBDrxL,1375819334321246219,3150,140,
18,Had a productive meeting with PM Sheikh Hasina. We reviewed the full range of India-Bangladesh relations and discus… https://t.co/SAvr3XMrCb,1375817413749436426,3256,140,
19,"RT @MEAIndia: The Continuing Legacy of Gurudev! 

Prime Minister @narendramodi and Prime Minister Sheikh Hasina jointly inaugurated extende…",1375816838433566725,998,140,
20,RT @MEAIndia: Prime Minister @narendramodi and Prime Minister Sheikh Hasina jointly inaugurated three border haats. https://t.co/3frOURYBzm,1375813095113728002,1024,139,
21,"RT @MEAIndia: Furthering our cooperation in Power &amp; Energy

Prime Minister @narendramodi and Prime Minister Sheikh Hasina jointly laid the…",1375813050490527751,840,143,
